Model,Score,Question,ResponseId
human,4,a,1
human,4,a,2
ChatGPT-4o,1,a,3
Gemini,5,a,4
ChatGPT-4o,4,a,5
human,4,a,6
Gemini,5,a,7
human,3,a,8
human,5,a,9
human,4,a,10
human,5,a,11
human,5,a,12
human,4,a,13
Gemini,5,a,14
human,5,a,15
Gemini,5,a,16
human,4,a,17
ChatGPT-4o,5,a,18
Llama-3,4,a,19
human,3,a,20
human,3,a,21
ChatGPT-4o,4,a,22
human,5,a,23
ChatGPT-4o,5,a,24
human,5,a,25
Gemini,4,a,26
human,5,a,27
Gemini,4,a,28
ChatGPT-4o,4,a,29
Llama-3,4,a,30
Gemini,1,a,31
Llama-3,5,a,32
Gemini,4,a,33
human,5,a,34
Gemini,4,a,35
human,1,a,36
Llama-3,5,a,37
Gemini,4,a,38
ChatGPT-4o,5,a,39
human,5,a,40
Gemini,5,a,41
Llama-3,5,a,42
Llama-3,4,a,43
human,5,a,44
human,5,a,45
Llama-3,4,a,46
Llama-3,5,a,47
human,5,a,48
human,5,a,49
ChatGPT-4o,4,a,50
Llama-3,5,a,51
human,5,a,52
Gemini,4,a,53
Llama-3,4,a,54
human,4,a,55
Llama-3,5,a,56
ChatGPT-4o,5,a,57
Llama-3,5,a,58
Llama-3,4,a,59
ChatGPT-4o,4,a,60
Gemini,4,a,61
Llama-3,5,a,62
ChatGPT-4o,4,a,63
Llama-3,5,a,64
human,3,a,65
Llama-3,5,a,66
ChatGPT-4o,5,a,67
Llama-3,5,a,68
ChatGPT-4o,5,a,69
Llama-3,5,a,70
human,5,a,71
ChatGPT-4o,5,a,72
Gemini,5,a,73
human,5,a,74
human,5,a,75
Gemini,4,a,76
ChatGPT-4o,5,a,77
Gemini,5,a,78
Gemini,5,a,79
ChatGPT-4o,4,a,80
human,3,a,81
Llama-3,1,a,82
ChatGPT-4o,5,a,83
ChatGPT-4o,5,a,84
Llama-3,5,a,85
Gemini,5,a,86
Llama-3,5,a,87
human,5,a,88
Llama-3,5,a,89
Llama-3,5,a,90
ChatGPT-4o,3,a,91
Gemini,4,a,92
Llama-3,5,a,93
Gemini,4,a,94
Llama-3,5,a,95
Gemini,5,a,96
Gemini,3,a,97
human,5,a,98
Llama-3,5,a,99
human,5,a,100
Gemini,5,a,101
Llama-3,5,a,102
Llama-3,5,a,103
ChatGPT-4o,4,a,104
human,5,a,105
ChatGPT-4o,4,a,106
human,5,a,107
Llama-3,5,a,108
Gemini,4,a,109
Llama-3,5,a,110
Llama-3,1,a,111
Llama-3,5,a,112
Llama-3,5,a,113
Gemini,5,a,114
ChatGPT-4o,1,a,115
Gemini,5,a,116
human,4,a,117
ChatGPT-4o,5,a,118
Gemini,5,a,119
Llama-3,4,a,120
human,3,a,121
Llama-3,5,a,122
Gemini,5,a,123
Llama-3,5,a,124
ChatGPT-4o,4,a,125
Llama-3,3,a,126
human,5,a,127
Gemini,5,a,128
human,5,a,129
human,4,a,130
human,1,a,131
Gemini,5,a,132
Llama-3,5,a,133
Llama-3,4,a,134
human,4,a,135
human,4,a,136
Llama-3,5,a,137
Llama-3,5,a,138
Llama-3,5,a,139
Llama-3,5,a,140
Gemini,5,a,141
Llama-3,5,a,142
ChatGPT-4o,5,a,143
Llama-3,5,a,144
human,4,a,145
Llama-3,5,a,146
Gemini,5,a,147
Llama-3,4,a,148
Gemini,4,a,149
ChatGPT-4o,5,a,150
ChatGPT-4o,5,a,151
Gemini,5,a,152
Llama-3,2,a,153
human,5,a,154
human,4,a,155
Llama-3,5,a,156
Llama-3,5,a,157
Llama-3,3,a,158
ChatGPT-4o,5,a,159
human,5,a,160
human,4,a,161
ChatGPT-4o,5,a,162
Gemini,4,a,163
human,5,a,164
Gemini,5,a,165
Gemini,4,a,166
Gemini,4,a,167
ChatGPT-4o,5,a,168
Llama-3,5,a,169
human,1,a,170
human,5,a,171
ChatGPT-4o,4,a,172
Gemini,3,a,173
human,3,a,174
human,5,a,175
Llama-3,2,a,176
ChatGPT-4o,3,a,177
ChatGPT-4o,4,a,178
ChatGPT-4o,5,a,179
human,3,a,180
Llama-3,4,a,181
ChatGPT-4o,4,a,182
Llama-3,5,a,183
ChatGPT-4o,3,a,184
ChatGPT-4o,5,a,185
human,3,a,186
human,4,a,187
ChatGPT-4o,5,a,188
Llama-3,4,a,189
ChatGPT-4o,1,a,190
Gemini,5,a,191
ChatGPT-4o,5,a,192
Gemini,1,a,193
ChatGPT-4o,1,a,194
Llama-3,4,a,195
ChatGPT-4o,5,a,196
Gemini,1,a,197
human,3,a,198
ChatGPT-4o,5,a,199
Gemini,1,a,200
Gemini,5,a,201
human,1,a,202
Llama-3,4,a,203
human,4,a,204
human,3,a,205
human,3,a,206
human,4,a,207
ChatGPT-4o,5,a,208
Llama-3,3,a,209
human,5,a,210
human,5,a,211
human,5,a,212
Llama-3,4,a,213
ChatGPT-4o,5,a,214
ChatGPT-4o,3,a,215
human,4,a,216
Llama-3,4,a,217
ChatGPT-4o,5,a,218
Gemini,4,a,219
ChatGPT-4o,4,a,220
ChatGPT-4o,4,a,221
human,3,a,222
human,5,a,223
Llama-3,5,a,224
human,5,a,225
